249	0.0168380737	328191	1752	5
250	0.0162348747	328191	1956	5
251	0.0174388885	328190	1864	5
252	0.0170300007	328191	1600	4
262	0.0219359398	328191	1620	4
272	0.0172410011	328191	1620	4
10	0.0166399479	328191	2006	6
11	0.022135973	328191	2148	6
15	0.0176410675	328190	2088	6
79	0.0178349018	328191	1824	5
80	0.0207600594	328190	1620	4
81	0.0227239132	328191	2016	6
82	0.0225279331	328191	1874	5
85	0.0209589005	328190	1874	5
86	0.0266008377	328191	1712	5
87	0.0223338604	328191	1620	4
88	0.0205519199	328190	2290	6
89	0.0215449333	328191	1620	4
90	0.0259978771	328191	1600	4
91	0.0213489532	328190	1620	4
92	0.0264048576	328191	1894	5
93	0.0211539268	328191	1620	4
94	0.0267970562	328191	1844	5
95	0.0278480053	328191	1732	5
96	0.028110981	328191	2158	6
97	0.0217399597	328190	1620	4
99	0.0273840427	328191	1742	5
100	0.02845788	328191	2108	6
101	0.0271918774	328191	2362	7
102	0.0269939899	328191	1814	5
103	0.0292599201	328191	1600	4
137	0.0262038708	328191	1600	4
138	0.02866292	328190	1600	4
141	0.0276379585	328190	1904	5
142	0.0290608406	328191	2210	6
145	0.0288598537	328191	1904	5
148	0.0296549797	328191	1926	5
151	0.0294568539	328191	1600	4
195	0.0012998581	328190	1874	5
196	0.0011050701	328190	2088	6
197	0.0052480698	328191	2302	7
198	0.0014140606	328191	2156	6
199	0.0020470619	328191	1894	5
200	0.0029120445	328190	1824	5
202	0.0049469471	328191	1600	4
203	0.0017268658	328191	1600	4
204	0.0024600029	328191	2198	6
205	0.0054910183	328191	2818	8
206	0.0022659302	328191	1976	6
207	0.0018420219	328191	1924	5
208	0.003303051	328191	2008	6
216	0.0083038807	328190	1600	4
218	0.0120949745	328191	2026	6
223	0.0136239529	328191	1966	5
224	0.0129928589	328191	1896	5
225	0.0132360458	328191	1792	5
228	0.0164489746	328191	1600	4
229	0.0127959251	328191	1774	5
230	0.0123980045	328191	2270	6
231	0.0125980377	328191	1692	5
240	0.0134289265	328191	2312	7
241	0.0159330368	328190	2118	6
249	0.0168440342	328191	1600	4
250	0.0162420273	328191	1600	4
251	0.0174479485	328190	1936	5
252	0.0170369148	328191	1600	4
262	0.0219428539	328190	1814	5
272	0.0172469616	328191	1692	5
10	0.0166459084	328190	2098	6
11	0.0221419334	328191	2168	6
15	0.0176479816	328191	2208	6
79	0.0178420544	328191	2736	8
80	0.0207669735	328190	1996	6
81	0.0227298737	328191	2018	6
82	0.0225348473	328191	2726	8
85	0.020966053	328191	2816	8
86	0.0266089439	328190	1904	5
87	0.022341013	328191	1874	5
88	0.0205600262	328191	2502	7
89	0.0215518475	328190	1732	5
90	0.026006937	328190	1732	5
91	0.0213558674	328191	1600	4
92	0.0264129639	328191	1742	5
93	0.021160841	328191	2148	6
94	0.026804924	328191	2148	6
95	0.0278558731	328191	1986	6
96	0.0281188488	328191	1914	5
97	0.0217468739	328190	1600	4
99	0.0273919106	328191	1814	5
100	0.0284659863	328191	1904	5
101	0.0271999836	328195	2188	6
102	0.0270030499	328191	1742	5
103	0.0292670727	328190	1874	5
137	0.0262110233	328191	1600	4
138	0.0286710262	328190	1600	4
141	0.0276460648	328190	2654	8
142	0.0290679932	328191	1854	5
145	0.0288689137	328191	2138	6
146	0.0330379009	328190	1692	5
147	0.033634901	328190	1752	5
148	0.0296628475	328191	2076	6
151	0.0294649601	328191	1600	4
152	0.0338308811	328191	1600	4
153	0.0340349674	328191	1976	6
154	0.0346250534	328191	1742	5
185	0.034829855	328191	1600	4
187	0.0350308418	328191	1914	5
188	0.0332360268	328191	1742	5
189	0.0342328548	328190	1986	6
191	0.0344259739	328191	1752	5
192	0.0334348679	328191	1600	4
194	0.0328359604	328191	1996	6
195	0.0013048649	328190	1722	5
196	0.0011098385	328190	2036	6
197	0.0052540302	328191	1996	6
198	0.0014190674	328191	2066	6
199	0.0020530224	328191	2078	6
200	0.0029189587	328191	2068	6
202	0.0049529076	328191	1702	5
203	0.0017318726	328191	1742	5
204	0.0024650097	328190	2250	6
205	0.0054969788	328191	2288	6
206	0.0022718906	328191	2058	6
207	0.0018479824	328191	2006	6
208	0.0033080578	328191	1712	5
216	0.0083098412	328190	1600	4
218	0.0121018887	328191	1792	5
223	0.0136299133	328190	1854	5
224	0.0129990578	328191	1692	5
225	0.01324296	328191	1782	5
